Key	Amount
999001 (interacts with) 617629	412
650659 (interacts with) 999998	490
780789 (interacts with) 560569	133
617629 (interacts with) 690698	145
780789 (interacts with) 90099	121
90099 (interacts with) 650659	121
999001 (interacts with) 401405	250
780789 (interacts with) 617629	231
690698 (interacts with) 401405	479
401405 (interacts with) 999998	762
999001 (interacts with) 249259	130
460466 (interacts with) 690698	189
249259 (interacts with) 401405	130
617629 (interacts with) 401405	135
617629 (interacts with) 650659	121
617629 (interacts with) 640649	231
640649 (interacts with) 999998	94
999001 (interacts with) 460466	189
401405 (interacts with) 999999	222
780789 (interacts with) 690698	145
401405 (interacts with) 650659	385
640649 (interacts with) 999999	27
640649 (interacts with) 401405	110
999001 (interacts with) 780789	630
617629 (interacts with) 560569	132
560569 (interacts with) 401405	265
650659 (interacts with) 999999	137
