SourceNode	TargetNode
650659	999998
780789	560569
90099	650659
690698	401405
999001	90099
249259	401405
999001	210229
520529	401405
617629	640649
640649	999998
780789	460466
780789	401405
999001	690698
640649	401405
617629	560569
780789	640649
614616	401405
999001	617629
460466	555558
999001	249259
999001	110118
617629	401405
210229	401405
617629	650659
460466	617629
530539	640649
614616	640649
249259	640649
690698	640649
460466	520529
780789	614616
999001	555558
630639	401405
999001	640649
617629	690698
780789	90099
999001	401405
999001	560569
780789	617629
999001	630639
460466	401405
555558	401405
460466	690698
617629	90099
780789	690698
520529	617629
640649	650659
650659	999999
460466	90099
460466	640649
460466	560569
530539	650659
401405	999998
999001	520529
999001	530539
110118	401405
999001	460466
401405	999999
401405	650659
640649	999999
999001	780789
999001	614616
560569	401405
