SourceNode	TargetNode
380389	420429
780789	725729
720724	420429
999001	690698
720724	410414
999001	420429
999001	360379
840848	420429
780789	420429
999001	380389
470478	410414
710719	410414
999001	490496
360379	420429
420429	999999
999001	249259
530539	420429
249259	410414
510519	999999
690698	410414
460466	520529
520529	410414
560569	410414
300316	410414
460466	420429
401405	410414
360379	410414
460466	725729
999001	401405
999001	410414
999001	560569
460466	710719
460466	720724
710719	420429
590599	410414
780789	410414
999001	470478
725729	420429
690698	420429
460466	530539
300316	420429
410414	999999
725729	410414
460466	410414
560569	420429
401405	780789
999001	840848
460466	510519
401405	460466
520529	420429
999001	520529
999001	530539
780789	510519
999001	725729
999001	270279
999001	300316
270279	410414
780789	530539
999001	720724
401405	420429
460466	360379
460466	780789
380389	410414
590599	420429
999001	460466
999001	710719
490496	410414
999001	590599
999001	780789
840848	410414
530539	410414
270279	420429
