Key	Amount
780789 (interacts with) 420429	9949
401405 (interacts with) 410414	8650
710719 (interacts with) 410414	7151
999001 (interacts with) 401405	15691
360379 (interacts with) 420429	6995
999001 (interacts with) 410414	17856
360379 (interacts with) 410414	7910
520529 (interacts with) 420429	6787
420429 (interacts with) 999999	64964
999001 (interacts with) 520529	14249
530539 (interacts with) 420429	6973
999001 (interacts with) 530539	14842
999001 (interacts with) 725729	13054
710719 (interacts with) 420429	6153
999001 (interacts with) 270279	5529
270279 (interacts with) 410414	5529
780789 (interacts with) 410414	10976
725729 (interacts with) 420429	6125
999001 (interacts with) 720724	12953
401405 (interacts with) 420429	7041
690698 (interacts with) 410414	5276
999001 (interacts with) 460466	21331
999001 (interacts with) 710719	13304
720724 (interacts with) 420429	6005
410414 (interacts with) 999999	81449
720724 (interacts with) 410414	6948
999001 (interacts with) 690698	5276
520529 (interacts with) 410414	7462
460466 (interacts with) 410414	11229
460466 (interacts with) 420429	10102
999001 (interacts with) 420429	14413
999001 (interacts with) 780789	20925
999001 (interacts with) 360379	14905
725729 (interacts with) 410414	6929
530539 (interacts with) 410414	7869
