SourceNode	TargetNode
780789	420429
401405	410414
710719	410414
999001	401405
360379	420429
999001	410414
360379	410414
520529	420429
420429	999999
999001	520529
530539	420429
999001	530539
999001	725729
710719	420429
999001	270279
270279	410414
780789	410414
725729	420429
999001	720724
401405	420429
690698	410414
999001	460466
999001	710719
720724	420429
410414	999999
720724	410414
999001	690698
520529	410414
460466	410414
460466	420429
999001	420429
999001	780789
999001	360379
725729	410414
530539	410414
